*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BITBA555_tutorial5
*Date=03:58:12
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
276;;;45.4914;-75.0699;0;Bottom;Copper Fill232
277;;;71.12;-39.0146;0;Bottom;Copper Fill152
278;15k;THT;94.6218;-48.3883;-90;Bottom;R44
279;;;58.6215;-52.4684;0;Bottom;Via30
280;;;81.4832;-16.3578;0;Bottom;Copper Fill183
281;;;74.5617;-91.4402;0;Bottom;Copper Fill84
282;;;81.5848;-2.7942;0;Bottom;Copper Fill207
283;;;24.9682;-91.0719;0;Bottom;Copper Fill69
284;;;27.2796;-63.8558;0;Bottom;Copper Fill14
285;;;104.534;-26.3908;0;Bottom;Copper Fill217
286;;;73.914;-24.6636;0;Bottom;Copper Fill175
287;;;48.5648;-38.7098;0;Bottom;Copper Fill144
288;10k;THT;16.7016;-67.4682;0;Bottom;R70
289;180;THT;43.5415;-90.4685;180;Bottom;R61
290;10k;THT;93.5417;-74.4685;180;Bottom;R66
291;560;THT;63.5418;-47.4683;180;Bottom;R10
292;;;119.532;-50.0128;0;Bottom;Copper Fill111
293;;;25.9461;-92.0498;0;Bottom;Copper Fill233
294;180;THT;74.7017;-16.4684;0;Bottom;R39
295;;;104.953;-90.4496;0;Bottom;Copper Fill94
296;;;77.724;-15.1386;0;Bottom;Copper Fill30
297;180;THT;75.5416;-19.4685;180;Bottom;R33
298;1k;THT;51.7017;-62.4684;0;Bottom;R73
299;;;36.2049;-31.1584;0;Bottom;Arduino Uno1
300;;;42.5577;-24.4858;0;Bottom;Copper Fill81
301;;;41.6216;-10.4684;0;Bottom;Via7
302;;;60.1345;-76.4542;0;Bottom;Copper Fill224
303;;;61.0362;-75.5271;0;Bottom;Copper Fill56
304;;;46.6217;-52.4684;0;Bottom;Via25
