*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BITBA555_tutorial5
*Date=13:13:57
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
296;;;98.4504;-77.5083;0;Bottom;Copper Fill65
297;;;81.7372;-17.1198;0;Bottom;Copper Fill34
298;;;89.7128;-21.006;0;Bottom;Copper Fill32
299;15k;THT;94.6218;-48.3883;-90;Bottom;R44
300;100nF;100 mil [THT, multilayer];28.6216;-70.1985;-90;Bottom;C19
301;100k;THT;72.7016;-29.4684;0;Bottom;R35
302;;;29.6218;-10.4684;0;Bottom;Via2
303;;;100.66;-77.5083;0;Bottom;Copper Fill66
304;;;94.2086;-45.5932;0;Bottom;Copper Fill147
305;;;96.9264;-47.1934;0;Bottom;Copper Fill144
306;;;79.9592;-58.979;0;Bottom;Copper Fill123
307;;;68.4784;-16.5483;0;Bottom;Copper Fill205
308;;;100.609;-42.2404;0;Bottom;Copper Fill116
309;;;75.5142;-51.4352;0;Bottom;Copper Fill134
310;180;THT;75.5416;-19.4685;180;Bottom;R33
311;;;103.861;-50.0128;0;Bottom;Copper Fill177
312;;;38.6215;-10.4684;0;Bottom;Via6
313;;DIP (Dual Inline) [THT];80.8115;-73.1985;0;Bottom;IC5
314;;;79.6544;-44.9328;0;Bottom;Copper Fill143
315;100k;THT;78.7016;-8.46828;0;Bottom;R43
316;;300 mil [THT];16.6218;-87.2529;-90;Bottom;D6
317;;;43.2308;-92.253;0;Bottom;Copper Fill87
318;;;41.0972;-62.9922;0;Bottom;Copper Fill21
319;;;68.7197;-69.4184;0;Bottom;Copper Fill50
320;;;67.6216;-52.4684;0;Bottom;Via29
321;;300 mil [THT];40.837;-86.4683;180;Bottom;D7
322;10k;THT;78.5416;-5.46826;0;Bottom;R41
323;;;27.5336;-94.5263;0;Bottom;Copper Fill197
324;;;41.529;-16.5483;0;Bottom;Copper Fill44
325;100nF;100 mil [THT, multilayer];43.8918;-16.4684;0;Bottom;C3
326;;;82.1944;-70.4598;0;Bottom;Copper Fill108
327;;;13.9446;-46.7108;0;Bottom;Copper Fill142
328;;;10.4648;-82.4867;0;Bottom;Copper Fill45
329;;;58.5978;-86.157;0;Bottom;Copper Fill84
330;;;23.7236;-62.4842;0;Bottom;Copper Fill20
331;;;61.6215;-52.4684;0;Bottom;Via32
332;220k;THT;83.5417;-82.4684;180;Bottom;R80
333;;;102.21;-23.5206;0;Bottom;Copper Fill174
334;;;80.5688;-51.9432;0;Bottom;Copper Fill135
335;15k;THT;73.6216;-35.3883;90;Bottom;R37
336;;;88.9254;-76.632;0;Bottom;Copper Fill9
337;;;46.1518;-5.1056;0;Bottom;Copper Fill37
338;;;58.4708;-39.0527;0;Bottom;Copper Fill217
339;;;81.4832;-55.3976;0;Bottom;Copper Fill129
340;;;40.5892;-82.4867;0;Bottom;Copper Fill195
341;;din_5_female_support;9.37165;-18.5092;90;Bottom;MIDI_OUT1
342;;;24.1046;-81.204;0;Bottom;Copper Fill95
343;100nF;100 mil [THT, multilayer];83.347;-58.4685;0;Bottom;C16
344;100k;THT;100.622;-15.3884;-90;Bottom;R53
345;;;77.6478;-15.2148;0;Bottom;Copper Fill35
346;180;THT;24.7015;-47.4683;0;Bottom;R9
347;;;76.6064;-61.2142;0;Bottom;Copper Fill119
348;;DIP (Dual Inline) [THT];87.8118;-46.5784;0;Bottom;IC3
349;;;12.6746;-82.4867;0;Bottom;Copper Fill192
350;10k;THT;68.6218;-79.3885;90;Bottom;R64
351;5.6k;THT;33.7016;-65.4684;0;Bottom;R69
352;;;35.6218;-10.4684;0;Bottom;Via3
353;;;71.0692;-43.485;0;Bottom;Copper Fill149
354;;;100.406;-54.1784;0;Bottom;Copper Fill131
355;;;38.6334;-93.6754;0;Bottom;Copper Fill82
356;;;97.0788;-88.189;0;Bottom;Copper Fill7
357;;;44.5897;-2.6418;0;Bottom;Copper Fill41
358;;;48.1584;-15.0243;0;Bottom;Copper Fill64
359;;;25.5905;-51.4352;0;Bottom;Copper Fill187
360;;THT;111.446;-72.938;0;Bottom;R58
361;300pF;100 mil [THT, multilayer];102.622;-13.1938;-90;Bottom;C12
362;;;74.9808;-76.8098;0;Bottom;Copper Fill103
363;;;96.1644;-55.423;0;Bottom;Copper Fill29
364;10k;THT;33.7016;-62.4684;0;Bottom;R71
365;;;101.536;-25.4764;0;Bottom;Copper Fill51
366;;;45.5676;-55.1944;0;Bottom;Copper Fill128
367;;;94.234;-67.9706;0;Bottom;Copper Fill110
368;;;40.132;-25.6542;0;Bottom;Copper Fill165
369;;THT;25.8115;-43.2839;0;Bottom;SharpPC818
370;5.6k;THT;63.7015;-70.4683;0;Bottom;R63
